ID,Category,Asset / Requirement,Suggested Spec / Notes,Priority,Owner,Due Date,Status,Received Date,Notes / Link
A1,Brand,Final logo pack (SVG + PNG light/dark),"SVG preferred; PNG @1x/2x; transparent background",Must have,,,,,
A2,Brand,Favicon (ICO/PNG 32 & 180),"Browser tab + Apple touch icon",Must have,,,,,
A3,Brand,Social share / Open Graph image,"1200×630 px JPG or PNG",Must have,,,,,
A4,Brand,Confirm brand colors / fonts,"Approve current navy/blue/cyan + fonts or provide brand guide",Must have,,,,,
A5,Brand,Legal company name + tagline + copyright year,"For footer and meta titles",Must have,,,,,
A6,Brand,Social profile URLs (LinkedIn X YouTube etc.),"Live URLs for footer",Should have,,,,,
B1,Photography – Home,Hero facility / shop-floor photo or still,"≥1920px wide; landscape; cleared for web",Must have,,,,,
B2,Photography – Home,Engineers / technicians at work,"≥1200px; for company overview section",Must have,,,,,
B3,Photography – Home,Quality / CMM / inspection photo,"≥1200px",Should have,,,,,
B4,Photography – Home,Facility exterior or campus aerial,"≥1920px optional",Nice to have,,,,,
B5,Photography – Capabilities,5-Axis CNC machining photo,"≥1200px; one strong shot per capability",Must have,,,,,
B6,Photography – Capabilities,Sheet metal fabrication photo,"≥1200px",Must have,,,,,
B7,Photography – Capabilities,Composite / autoclave photo,"≥1200px",Must have,,,,,
B8,Photography – Capabilities,Assembly & integration photo,"≥1200px",Must have,,,,,
B9,Photography – Capabilities,Surface treatment / coatings photo,"≥1200px",Must have,,,,,
B10,Photography – Capabilities,NDT & CMM inspection photo,"≥1200px",Must have,,,,,
B11,Photography – Products,Product / part photos (non-classified),"Airframe engine UAV defense space GSE as publishable",Should have,,,,,
B12,Photography – Industries,Industry imagery (6 sectors),"Or reuse capability/facility shots if limited",Should have,,,,,
B13,Photography – About,Company story / heritage photo,"≥1200px",Should have,,,,,
B14,Photography – About,Leadership headshots,"One per leader; consistent style; or approve placeholder",Should have,,,,,
B15,Photography – Careers,Team / culture photos,"2–4 photos",Should have,,,,,
B16,Photography – Facilities,Facilities hero photo,"≥1920px",Must have,,,,,
B17,Photography – Facilities,CNC machining bay photo,"≥1200px",Must have,,,,,
B18,Photography – Facilities,Sheet metal shop photo,"≥1200px",Must have,,,,,
B19,Photography – Facilities,Composite manufacturing bay photo,"≥1200px",Must have,,,,,
B20,Photography – Facilities,Assembly bay photo,"≥1200px",Must have,,,,,
B21,Photography – Facilities,Surface treatment plant photo,"≥1200px",Must have,,,,,
B22,Photography – Facilities,Quality & metrology lab photo,"≥1200px",Must have,,,,,
B23,Photography – Quality,Certificate document photos/scans,"High-res for Quality page and downloads",Should have,,,,,
C1,Video,Facility walkthrough video,"30–90 sec; MP4 H.264; provide mute-friendly cut",Should have,,,,,
C2,Video,CNC / machining process clip,"5–15 sec loop; muted autoplay friendly",Nice to have,,,,,
C3,Video,Composite layup / autoclave clip,"5–15 sec loop",Nice to have,,,,,
C4,Video,CMM / inspection clip,"5–15 sec loop",Nice to have,,,,,
C5,Video,Company overview / About video,"1–2 min; with captions if possible",Nice to have,,,,,
C6,Video,Careers culture video,"30–60 sec optional",Nice to have,,,,,
C7,Video / Motion,Logo animation or intro bumper,"Lottie or MP4 optional",Nice to have,,,,,
